Order ID,Purchase Date,Ship Date,Return Date,Returned,Continent,Country,City,Store ID,Store Name,Store Type,Channel,Priority,Payment Method,Promotion ID,Promotion Name,Customer ID,Customer Segment,Loyalty Tier,Salesperson ID,Salesperson Department,Product ID,Brand,Product Name,Category,Subcategory,SKU,Quantity,Unit Cost,Unit Price,Discount Amount,Tax Amount,Shipping Cost,Gross Sales,Net Sales,COGS,Gross Profit
O900010,2024-12-29,2024-02-27,2024-03-02,,,,New York,S001,ValueMart - Johannesburg,,,,,,,C00237,,,E0007,,P0083,Acer,Logitech Accessories Max,,Men,SKU-100082,,731,1092,55,83,,1092,1037,731,306
O900011,2024-03-23,2024-01-08,2024-05-12,,,,Durban,S010,Everyday Store - New York,,,,,,,C00298,,,E0058,,P0098,HP,Apple Tablets Basic,,Laptops,SKU-100097,,492,872,17,128,,872,855,492,363
O900012,2024-06-09,2024-08-30,2024-02-20,,,,Los Angeles,S003,Everyday Store - Durban,,,,,,,C00735,,,E0049,,P0009,Dell,Local Snacks Eco,,Cleaning,SKU-100008,,1395,2251,1013,459,,6753,5740,4185,1555
O900013,2024-10-28,2024-08-09,2024-07-14,,,,Nairobi,S014,Tech & Home - Los Angeles,,,,,,,C00097,,,E0029,,P0178,Lenovo,Samsung Phones Max,,,SKU-100177,,16,28,0,4,,56,56,32,24
O900014,2024-05-15,2024-05-20,2024-10-29,,,,Seattle,S019,Everyday Store - Manchester,,,,,,,C00908,,,E0066,,P0159,Dyson,Local Household Eco,,,SKU-100158,,498,704,84,93,,704,620,498,122
O900015,2024-11-16,2024-05-18,2024-07-11,,,,,S020,Tech & Home - Birmingham,,,,,,,C00356,,,E0020,,P0048,Tefal,Local Kids Standard (L),,,SKU-100047,,60,15,2,2,,15,13,11,2
O900016,2024-09-15,2024-05-19,2024-06-20,,,,,S015,Main Street Retail - Los Angeles,,,,,,,C00956,,,E0041,,P0085,Asus,Apple Tablets Max,,,SKU-100084,,1837,73,26,18,,146,120,120,0
O900017,2024-09-28,2024-09-06,2025-01-06,,,,,S004,Tech & Home - Pretoria,,,,,,,C00150,,,E0043,,P0092,Philips,Local Kids Premium (S),,,SKU-100091,,24,2353,706,320,,4706,4000,3674,326
O900018,2024-02-28,2024-01-31,2024-09-23,,,,,S006,Everyday Store - Nairobi,,,,,,,C00680,,,E0032,,P0055,,Local Snacks Premium,,,SKU-100054,,54,40,10,10,,80,70,48,22
O900019,2024-06-13,2024-09-05,2024-10-06,,,,,S013,Tech & Home - Seattle,,,,,,,C00493,,,E0009,,P0115,,Apple Phones Basic,,,SKU-100114,,21,71,21,6,,142,121,108,13
O900020,2024-12-16,2024-03-22,2024-06-18,,,,,S009,ValueMart - New York,,,,,,,C01042,,,E0053,,P0132,,Local Men Standard (M),,,SKU-100131,,1103,37,12,233,,74,74,42,32
O900021,2024-02-07,2024-10-09,2024-05-08,,,,,,,,,,,,,C00016,,,E0006,,P0137,,Acer Laptops Basic,,,SKU-100136,,66,1459,244,370,,2918,2918,2206,712
O900022,2024-01-09,2024-07-05,2024-06-16,,,,,,,,,,,,,C00148,,,E0004,,P0166,,Russell Hobbs Kitchen Value,,,SKU-100165,,1984,101,51,200,,101,89,66,23
O900023,2024-02-24,2024-04-18,2024-04-07,,,,,,,,,,,,,C00530,,,E0002,,P0059,,HP Laptops Pro,,,SKU-100058,,854,2435,488,240,,4870,4626,3968,658
O900024,2024-07-19,2024-07-28,2024-05-27,,,,,,,,,,,,,C01200,,,E0028,,P0017,,Dell Laptops Pro,,,SKU-100016,,631,1275,316,232,,2550,2499,1708,791
O900025,2024-01-03,2024-04-05,2024-01-31,,,,,,,,,,,,,C00810,,,E0047,,P0077,,Local Kids Value (L),,,SKU-100076,,601,930,110,50,,3488,3000,1968,1032
O900026,2024-08-24,2024-11-12,2024-08-08,,,,,,,,,,,,,C00765,,,E0036,,P0054,,Lenovo Tablets Plus,,,SKU-100053,,73,736,19,16,,1860,1544,1262,282
O900027,2024-05-25,2024-01-14,2024-03-24,,,,,,,,,,,,,C00705,,,E0060,,P0030,,Dyson Cleaning Standard,,,SKU-100029,,812,125,7,341,,736,626,601,25
O900028,2024-08-07,2024-04-13,2024-12-28,,,,,,,,,,,,,C00372,,,E0021,,P0149,,Local Men Eco (L),,,SKU-100148,,1222,1136,567,5,,125,106,73,33
O900029,2024-05-14,2024-08-28,2024-06-05,,,,,,,,,,,,,C00998,,,E0034,,P0112,,Local Household Standard,,,SKU-100111,,642,1667,14,221,,2272,2272,1624,648
O900030,2024-05-13,2024-10-02,2024-08-18,,,,,,,,,,,,,C00627,,,E0067,,P0045,,Local Kids Eco (L),,,SKU-100044,,44,1120,24,504,,73,66,60,6
O900031,2024-01-06,2024-06-14,2024-06-11,,,,,,,,,,,,,C00567,,,E0037,,P0008,,LG Appliances Eco,,,SKU-100007,,20,59,220,8,,3334,2767,2444,323
O900032,2024-03-15,2024-08-08,2024-04-08,,,,,,,,,,,,,C00168,,,E0012,,P0075,,Local Household Value,,,SKU-100074,,510,27,202,22,,3360,3360,1926,1434
O900033,2024-07-03,2024-10-18,2024-02-01,,,,,,,,,,,,,C01192,,,E0055,,P0036,,Samsung Phones Air,,,SKU-100035,,2,151,425,74,,118,104,88,16
O900034,2024-07-26,2024-10-19,2024-08-01,,,,,,,,,,,,,C00275,,,E0030,,P0060,,Belkin Accessories Max,,,SKU-100059,,1011,848,308,0,,111,94,63,31
O900035,2024-05-23,2024-06-25,2024-06-03,,,,,,,,,,,,,C00914,,,E0033,,P0167,,Tefal Kitchen Standard,,,SKU-100166,,1162,1122,126,227,,81,75,178,15
O900036,2024-09-02,2024-07-24,2024-03-22,,,,,,,,,,,,,C00129,,,E0019,,P0151,,Bosch Cleaning Standard,,,SKU-100150,,816,4,848,262,,302,278,1020,100
O900037,2024-01-29,2024-05-14,2024-08-05,,,,,,,,,,,,,C00664,,,E0005,,P0002,,Belkin Accessories Air,,,SKU-100001,,774,1634,403,67,,1696,1476,854,456
O900038,2024-08-29,2024-12-28,2024-07-27,,,,,,,,,,,,,C00160,,,E0045,,P0031,,Lenovo Laptops Plus,,,SKU-100030,,28,2056,181,216,,1122,920,2,66
O900039,2024-11-01,2024-09-08,2024-09-17,,,,,,,,,,,,,C01028,,,E0010,,P0147,,Google Phones Max,,,SKU-100146,,1558,968,1169,610,,4,4,2022,821
O900040,2024-03-17,2024-01-09,2024-12-29,,,,,,,,,,,,,C00472,,,E0062,,P0164,,Local Women Standard (S),,,SKU-100163,,1497,1348,1,295,,3268,2843,1162,586
O900041,2024-01-01,2024-11-26,2025-01-01,,,,,,,,,,,,,C00330,,,E0023,,P0047,,Asus Laptops Plus,,,SKU-100046,,721,35,9,136,,2056,1748,816,26
O900042,2024-07-14,2024-05-27,2024-05-28,,,,,,,,,,,,,C00039,,,E0027,,P0028,,Local Women Standard (L),,,SKU-100027,,487,2119,41,166,,968,842,1548,1148
O900043,2024-10-05,2024-02-23,2024-04-22,,,,,,,,,,,,,C01047,,,E0070,,P0129,,Local Beverages Standard,,,SKU-100128,,1160,2370,99,530,,2696,2696,28,3
O900044,2024-07-04,2024-05-05,2024-09-02,,,,,,,,,,,,,C00034,,,E0069,,P0179,,Samsung Appliances Standard,,,SKU-100178,,1018,908,131,430,,35,31,6232,1396
O900045,2024-04-14,2024-03-24,2024-12-07,,,,,,,,,,,,,C00241,,,E0024,,P0066,,Lenovo Laptops Air,,,SKU-100065,,129,645,158,70,,8476,7628,1497,470
O900046,2024-07-22,2024-01-15,2024-06-06,,,,,,,,,,,,,C01086,,,E0068,,P0134,,Russell Hobbs Kitchen Eco,,,SKU-100133,,1239,1948,8,3,,2370,1967,721,187
O900047,2024-12-22,2024-04-08,2024-07-19,,,,,,,,,,,,,C00978,,,E0039,,P0109,,Lenovo Laptops Basic,,,SKU-100108,,980,1343,219,161,,908,908,974,135
O900048,2024-03-30,2024-07-08,2024-03-31,,,,,,,,,,,,,C00015,,,E0025,,P0143,,Apple Phones Air,,,SKU-100142,,30,155,381,257,,1290,1109,4640,1983
O900049,2024-11-10,2024-09-23,2024-04-23,,,,,,,,,,,,,C01157,,,E0051,,P0026,,Tefal Kitchen Premium,,,SKU-100025,,7,1452,43,111,,7792,6623,4072,1300
O900050,2024-01-08,2024-10-08,2024-03-25,,,,,,,,,,,,,C00991,,,E0022,,P0103,,Apple Phones Plus,,,SKU-100102,,1294,86,176,84,,5372,5372,387,78
O900051,2024-04-09,2024-09-24,2024-05-25,,,,,,,,,,,,,C00440,,,E0064,,P0074,,Bosch Cleaning Eco,,,SKU-100073,,1036,26,146,108,,465,465,21,1
O900052,2024-08-22,2024-01-24,2024-01-29,,,,,,,,,,,,,C00187,,,E0063,,P0071,,Local Men Eco (S),,,SKU-100070,,95,1025,16,419,,2904,3,2478,698
O900053,2024-10-01,2024-04-27,2024-05-16,,,,,,,,,,,,,C01068,,,E0050,,P0150,,Samsung Tablets Pro,,,SKU-100149,,1562,1655,1948,9,,86,2904,980,17
O900054,2024-05-17,2024-02-05,2024-07-31,,,,,,,,,,,,,C00399,,,E0011,,P0097,,Anker Accessories Basic,,,SKU-100096,,1827,1213,291,168,,26,77,30,301
O900055,2024-07-01,2024-08-12,2024-01-21,,,,,,,,,,,,,C00819,,,E0056,,P0020,,Samsung Phones Pro,,,SKU-100019,,931,11,57,162,,2050,22,1294,733
O900056,2024-06-10,2024-03-19,2024-04-24,,,,,,,,,,,,,C00713,,,E0035,,P0062,,Local Beverages Value,,,SKU-100061,,227,1564,293,105,,3310,2009,2072,249
O900057,2024-08-04,2024-02-07,2024-05-18,,,,,,,,,,,,,C01145,,,E0031,,P0158,,Samsung Phones Basic,,,SKU-100157,,80,1587,86,15,,1213,29,95,75
O900058,2024-04-17,2024-12-18,2024-03-23,,,,,,,,,,,,,C01154,,,E0040,,P0072,,Anker Accessories Pro,,,SKU-100071,,1692,128,263,623,,37,3211,1562,7
O900059,2024-07-06,2024-10-10,2024-05-30,,,,,,,,,,,,,C00452,,,E0038,,P0118,,Philips Cleaning Premium,,,SKU-100117,,813,2138,23,156,,44,741,1827,8
O900060,2024-12-17,2024-02-09,2024-11-24,,,,,,,,,,,,,C01136,,,E0016,,P0067,,Apple Tablets Pro,,,SKU-100066,,1852,2201,53,34,,1564,1055,931,51
O900061,2024-01-05,2024-11-28,2025-01-03,,,,,,,,,,,,,C00544,,,E0044,,P0094,,Acer Laptops Max,,,SKU-100093,,402,1462,918,211,,3174,37,227,721
O900062,2024-10-17,2024-02-16,2024-03-04,,,,,,,,,,,,,C00014,,,E0061,,P0111,,Logitech Accessories Plus,,,SKU-100110,,27,285,123,39,,128,36,160,533
O900063,2024-10-12,2024-07-22,2024-10-19,,,,,,,,,,,,,C00815,,,E0065,,P0133,,Belkin Accessories Pro,,,SKU-100132,,1931,99,284,679,,2138,1345,14,198
O900064,2024-06-21,2024-08-24,2024-08-26,,,,,,,,,,,,,C00247,,,E0048,,P0122,,Local Kids Value (S),,,SKU-100121,,502,2241,167,38,,2201,2793,7936,385
O900065,2024-07-21,2024-04-03,2024-08-09,,,,,,,,,,,,,C00384,,,E0017,,P0051,,Local Snacks Value,,,SKU-100050,,72,1463,128,19,,1462,118,1692,-144
O900066,2024-05-08,2024-05-03,2024-09-14,,,,,,,,,,,,,C00821,,,E0057,,P0106,,Local Kids Eco (S),,,SKU-100105,,995,2189,190,294,,285,2095,1626,258
O900067,2024-02-12,2024-04-17,2024-07-13,,,,,,,,,,,,,C00781,,,E0015,,P0100,,Samsung Tablets Basic,,,SKU-100099,,927,528,40,186,,198,2025,454,1007
O900068,2024-03-08,2024-01-20,2024-06-21,,,,,,,,,,,,,C01094,,,E0008,,P0145,,Samsung Tablets Plus,,,SKU-100144,,571,2296,402,27,,22,1316,7408,30
O900069,2024-12-23,2024-02-18,2024-12-23,,,,,,,,,,,,,C00198,,,E0003,,P0123,,Bosch Cleaning Premium,,,SKU-100122,,1661,818,76,811,,9740,276,402,1085
O900070,2024-09-03,2024-11-23,2024-06-23,,,,,,,,,,,,,C01182,,,,,P0042,,Acer Laptops Air,,,SKU-100041,,902,93,1026,332,,2241,182,3862,10
O900071,2024-03-10,2024-06-12,2024-12-05,,,,,,,,,,,,,C00587,,,,,P0069,,Local Household Premium,,,SKU-100068,,1261,1422,490,172,,2926,21,1506,73
O900072,2024-01-04,2024-03-31,2024-06-14,,,,,,,,,,,,,C00643,,,,,P0005,,Google Phones Basic,,,SKU-100004,,373,1191,59,11,,570,7792,3980,19
O900073,2024-09-21,2024-09-10,2024-07-04,,,,,,,,,,,,,C00343,,,,,P0004,,Samsung Appliances Value,,,SKU-100003,,91,948,659,182,,8756,1950,1854,-188
O900074,2024-11-22,2024-09-25,2024-12-25,,,,,,,,,,,,,C01124,,,,,P0015,,Samsung Appliances Premium,,,SKU-100014,,1532,2008,280,81,,528,228,1142,825
O900075,2024-05-24,2024-10-29,2024-11-12,,,,,,,,,,,,,C00634,,,,,P0099,,Local Men Value (L),,,SKU-100098,,5,1441,36,602,,148,2633,1661,38
O900076,2024-07-09,2024-10-23,2024-10-04,,,,,,,,,,,,,C00957,,,,,P0084,,Anker Accessories Air,,,SKU-100083,,18,1960,458,359,,4592,484,112,1424
O900077,2024-02-18,2024-04-04,2024-02-28,,,,,,,,,,,,,C00891,,,,,P0064,,Google Phones Pro,,,SKU-100063,,1055,622,1244,152,,2454,8493,1850,361
O900078,2024-05-04,2024-02-10,2024-10-09,,,,,,,,,,,,,C00319,,,,,P0169,,Acer Laptops Plus,,,SKU-100168,,69,149,11,925,,186,105,6248,82
O900079,2024-06-26,2024-05-31,2024-11-18,,,,,,,,,,,,,C00614,,,,,P0029,,Lenovo Laptops Pro,,,SKU-100028,,1974,2221,1084,561,,5688,475,1804,564
O900080,2024-01-10,2024-12-06,2024-04-05,,,,,,,,,,,,,C00799,,,,,P0136,,Philips Cleaning Standard,,,SKU-100135,,560,8,3,127,,2382,127,1261,307
O900081,2024-03-19,2024-12-22,2024-02-08,,,,,,,,,,,,,C00846,,,,,P0135,,Logitech Accessories Basic,,,SKU-100134,,1226,33,487,62,,1896,3674,3486,21
O900082,2024-04-01,2024-05-26,2024-08-23,,,,,,,,,,,,,C00312,,,,,P0096,,Local Men Value (S),,,SKU-100095,,707,68,496,336,,2008,2331,1119,430
O900083,2024-07-31,2024-09-07,2024-09-22,,,,,,,,,,,,,C01011,,,,,P0006,,Local Women Premium (M),,,SKU-100005,,15,1772,5,611,,140,5404,273,285
O900084,2024-09-22,2024-12-08,2024-11-20,,,,,,,,,,,,,C00546,,,,,P0025,,Samsung Appliances Eco,,,SKU-100024,,654,2499,100,1,,2682,2215,6128,1278
O900085,2024-11-03,2024-02-28,2024-03-10,,,,,,,,,,,,,C00087,,,,,P0013,,Samsung Tablets Max,,,SKU-100012,,12,825,421,395,,8552,1150,54,588
O900086,2024-10-06,2024-08-01,2024-12-27,,,,,,,,,,,,,C00031,,,,,P0102,,Anker Accessories Plus,,,SKU-100101,,1293,23,429,527,,2882,1706,5,640
O900087,2024-01-20,2024-07-25,2024-10-02,,,,,,,,,,,,,C00323,,,,,P0023,,Russell Hobbs Kitchen Standard,,,SKU-100022,,9,2212,664,20,,1960,1968,4983,2682
O900088,2024-04-21,2024-06-08,2024-04-06,,,,,,,,,,,,,C00258,,,,,P0063,,Apple Phones Pro,,,SKU-100062,,1522,994,477,735,,6168,133,18,117
O900089,2024-10-16,2024-01-10,2024-04-17,,,,,,,,,,,,,C00514,,,,,P0073,,Dell Laptops Max,,,SKU-100072,,1270,985,89,308,,1866,2280,1984,467
O900090,2024-08-09,2024-10-25,2024-11-07,,,,,,,,,,,,,C00960,,,,,P0091,,Philips Cleaning Value,,,SKU-100090,,50,21,355,309,,447,1016,4220,138
O900091,2024-10-31,2024-01-29,2024-04-14,,,,,,,,,,,,,C00930,,,,,P0039,,LG Appliances Value,,,SKU-100038,,1148,1747,314,564,,8884,7526,207,690
O900092,2024-08-18,2024-11-01,2024-02-09,,,,,,,,,,,,,C01104,,,,,P0155,,Acer Laptops Pro,,,SKU-100154,,655,12,470,280,,71,2392,7,1512
O900093,2024-03-13,2024-04-10,2024-12-09,,,,,,,,,,,,,C00796,,,,,P0157,,Lenovo Tablets Max,,,SKU-100156,,1538,2184,109,322,,8,1901,3948,-43
O900094,2024-07-17,2024-04-02,2024-09-27,,,,,,,,,,,,,C01007,,,,,P0172,,Dyson Cleaning Value,,,SKU-100171,,575,1986,15,348,,6024,6168,1680,12
O900095,2024-07-20,2024-05-08,2024-05-24,,,,,,,,,,,,,C00084,,,,,P0104,,Bosch Appliances Eco,,,SKU-100103,,1638,74,370,242,,33,3737,2472,-36
O900096,2024-02-01,2024-02-03,2024-11-19,,,,,,,,,,,,,C00510,,,,,P0011,,Apple Tablets Air,,,SKU-100010,,3,1352,20,115,,2435,1586,2452,5
O900097,2024-12-13,2024-12-27,2024-11-27,,,,,,,,,,,,,C01127,,,,,P0065,,Local Kids Premium (M),,,SKU-100064,,17,864,77,276,,68,411,2828,2372
O900098,2024-10-04,2024-01-19,2024-08-10,,,,,,,,,,,,,C00845,,,,,P0108,,Asus Laptops Pro,,,SKU-100107,,79,2340,811,311,,7088,2238,2775,46
O900099,2024-02-04,2024-08-19,2024-02-15,,,,,,,,,,,,,C00814,,,,,P0154,,,,,SKU-100153,,470,744,173,657,,258,7640,15,950
O900100,2024-02-10,2024-07-02,2025-01-15,,,,,,,,,,,,,C00566,,,,,P0171,,,,,SKU-100170,,82,2082,73,135,,11,60,3064,374
O900101,2024-01-17,2024-03-29,2024-05-05,,,,,,,,,,,,,C00478,,,,,P0050,,,,,SKU-100049,,458,5,268,14,,4998,7,1308,1392
O900102,2024-11-11,2024-02-19,2024-04-29,,,,,,,,,,,,,C00616,,,,,P0090,,,,,SKU-100089,,496,126,999,35,,2475,4940,24,1308
O900103,2024-10-19,2024-08-17,2025-01-05,,,,,,,,,,,,,C00024,,,,,P0061,,,,,SKU-100060,,1749,823,13,368,,4293,30,1293,671
O900104,2024-06-20,2024-11-19,2024-08-22,,,,,,,,,,,,,C00805,,,,,P0130,,,,,SKU-100129,,524,7,331,55,,46,1948,2522,1248
O900105,2024-04-02,2024-10-26,2024-04-19,,,,,,,,,,,,,C01123,,,,,P0120,,,,,SKU-100119,,607,134,1050,21,,4424,59,9,9
O900106,2024-05-01,2024-01-21,2024-08-03,,,,,,,,,,,,,C01171,,,,,P0139,,,,,SKU-100138,,1063,544,174,85,,3976,6592,1522,1289
O900107,2024-04-16,2024-12-16,2024-08-07,,,,,,,,,,,,,C00231,,,,,P0153,,,,,SKU-100152,,131,597,253,389,,4023,253,3108,140
O900108,2024-01-19,2024-09-21,2024-02-17,,,,,,,,,,,,,C00906,,,,,P0146,,,,,SKU-100145,,1064,2303,273,749,,59,10,1270,928
O900109,2024-06-17,2024-09-16,2024-10-05,,,,,,,,,,,,,C00303,,,,,P0019,,,,,SKU-100018,,68,638,48,208,,28,4898,50,553
O900110,2024-02-14,2024-10-05,2024-03-03,,,,,,,,,,,,,C00418,,,,,P0119,,,,,SKU-100118,,113,1849,177,157,,4442,2054,22,1272
O900111,2024-11-19,2024-07-21,2024-05-17,,,,,,,,,,,,,C00412,,,,,P0170,,,,,SKU-100169,,291,38,397,1099,,1970,3864,380,676
O900112,2024-06-18,2024-06-05,2024-06-19,,,,,,,,,,,,,C00792,,,,,P0128,,,,,SKU-100127,,766,182,262,123,,42,44,4592,524
O900113,2024-06-06,2024-08-15,2024-07-15,,,,,,,,,,,,,C00045,,,,,P0033,,,,,SKU-100032,,84,1675,461,150,,1747,3760,655,55
O900114,2024-09-04,2024-01-12,2024-10-21,,,,,,,,,,,,,C00620,,,,,P0173,,,,,SKU-100172,,791,14,87,26,,3920,3499,487,36
O900115,2024-09-24,2024-05-29,2024-02-06,,,,,,,,,,,,,C00700,,,,,P0126,,,,,SKU-100125,,1150,109,277,263,,12,4023,3717,35
O900116,2024-10-22,2024-10-13,2024-12-24,,,,,,,,,,,,,C00675,,,,,P0148,,,,,SKU-100147,,1037,410,143,383,,2184,53,6152,81
O900117,2024-03-21,2024-05-13,2024-01-20,,,,,,,,,,,,,C00881,,,,,P0032,,,,,SKU-100031,,10,1187,169,433,,4761,23,16,1149
O900118,2024-12-09,2024-09-12,2024-09-25,,,,,,,,,,,,,C00653,,,,,P0113,,,,,SKU-100112,,1026,133,134,12,,1986,4353,1725,3208
O900119,2024-08-21,2024-11-20,2024-04-01,,,,,,,,,,,,,C00547,,,,,P0079,,,,,SKU-100078,,1170,1366,31,175,,112,1615,20,458
O900120,2024-06-15,2024-03-12,2024-01-26,,,,,,,,,,,,,C00377,,,,,P0140,,,,,SKU-100139,,1255,1447,221,300,,512,40,40,239
O900121,2024-10-21,2024-03-28,2024-11-10,,,,,,,,,,,,,C00416,,,,,P0044,,,,,SKU-100043,,1677,1494,168,24,,5408,1433,6552,777
O900122,2024-03-29,2024-04-20,2024-12-18,,,,,,,,,,,,,C00086,,,,,P0125,,,,,SKU-100124,,423,17,33,194,,864,79,6,53
O900123,2024-02-05,2024-05-10,2024-06-01,,,,,,,,,,,,,C00504,,,,,P0037,,,,,SKU-100036,,834,1435,71,694,,645,3450,190,166
O900124,2024-11-21,2024-05-12,2024-12-31,,,,,,,,,,,,,C00945,,,,,P0014,,,,,SKU-100013,,1394,1721,699,269,,4965,25,34,11
O900125,2024-06-11,2024-03-05,2024-08-04,,,,,,,,,,,,,C00369,,,,,P0041,,,,,SKU-100040,,821,1344,106,187,,9360,2075,1803,74
O900126,2024-05-30,2024-04-23,2024-02-03,,,,,,,,,,,,,C00328,,,,,P0052,,,,,SKU-100051,,620,2147,196,82,,21,4380,237,84
O900127,2024-12-02,2024-12-15,2024-11-08,,,,,,,,,,,,,C00631,,,,,P0057,,,,,SKU-100056,,215,2302,665,331,,2232,1946,1880,1412
O900128,2024-06-30,2024-05-22,2024-08-02,,,,,,,,,,,,,C01020,,,,,P0024,,,,,SKU-100023,,540,506,264,536,,66,1686,4412,34
O900129,2024-01-18,2024-02-04,2024-12-03,,,,,,,,,,,,,C01184,,,,,P0089,,,,,SKU-100088,,671,1875,292,222,,8328,92,138,1627
O900130,2024-01-27,2024-09-11,2024-07-23,,,,,,,,,,,,,C01152,,,,,P0121,,,,,SKU-100120,,107,1011,94,48,,10,435,3783,56
O900131,2024-09-05,2024-08-27,2025-01-02,,,,,,,,,,,,,C00133,,,,,P0176,,,,,SKU-100175,,815,745,857,44,,256,4597,96,242
O900132,2024-12-04,2024-11-10,2024-06-25,,,,,,,,,,,,,C00120,,,,,P0053,,,,,SKU-100052,,639,271,242,133,,2208,691,925,535
O900133,2024-09-29,2024-02-17,2024-08-24,,,,,,,,,,,,,C01077,,,,,P0040,,,,,SKU-100039,,104,857,298,126,,378,262,1160,375
O900134,2024-12-01,2024-06-15,2024-03-01,,,,,,,,,,,,,C00004,,,,,P0174,,,,,SKU-100173,,1464,984,297,143,,3292,568,276,20
O900135,2024-10-07,2024-04-12,2024-10-20,,,,,,,,,,,,,C01148,,,,,P0088,,,,,SKU-100087,,63,148,338,99,,5836,4866,82,216
O900136,2024-01-13,2024-08-29,2024-11-05,,,,,,,,,,,,,C00683,,,,,P0152,,,,,SKU-100151,,1449,1212,193,231,,172,9360,4904,45
O900137,2024-11-27,2024-09-26,2024-07-05,,,,,,,,,,,,,C00073,,,,,P0070,,,,,SKU-100069,,1283,953,205,28,,5880,18,1638,3767
O900138,2024-08-06,2024-07-29,2024-11-04,,,,,,,,,,,,,C01095,,,,,P0163,,,,,SKU-100162,,833,36,1524,351,,160,1389,746,153
O900139,2024-12-06,2024-09-19,2024-12-08,,,,,,,,,,,,,C00762,,,,,P0180,,,,,SKU-100179,,167,170,102,159,,1341,1964,458,42
O900140,2024-07-25,2024-06-21,2024-11-16,,,,,,,,,,,,,C00052,,,,,P0114,,,,,SKU-100113,,1092,1966,217,185,,1948,7329,2430,498
O900141,2024-07-24,2024-08-31,2024-07-08,,,,,,,,,,,,,C00272,,,,,P0165,,,,,SKU-100164,,794,100,195,30,,7,9,2540,86
O900142,2024-06-02,2024-07-12,2024-08-20,,,,,,,,,,,,,C00095,,,,,P0022,,,,,SKU-100021,,532,2086,432,184,,344,243,984,1706
O900143,2024-05-02,2024-12-11,2024-10-03,,,,,,,,,,,,,C01091,,,,,P0095,,,,,SKU-100094,,965,30,290,503,,84,821,496,1035
O900144,2024-10-23,2024-09-15,2024-04-04,,,,,,,,,,,,,C00718,,,,,P0049,,,,,SKU-100048,,1447,1918,269,141,,134,45,3498,316
